======================================== [1] 2025-12-02 17:12:38
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    5 KiB   998 MiB   15 TiB  0.84  1.02  169      up
12    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    4 KiB   955 MiB   15 TiB  0.84  1.02  175      up
15    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    4 KiB   995 MiB   15 TiB  0.84  1.02  177      up
18    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    4 KiB   1.4 GiB   15 TiB  0.84  1.02  176      up
21    hdd  14.67400   1.00000   15 TiB  126 GiB  2.3 GiB    4 KiB   362 MiB   15 TiB  0.84  1.02  175      up
24    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    4 KiB   975 MiB   15 TiB  0.84  1.02  175      up
27    hdd  14.67400   1.00000   15 TiB  126 GiB  2.0 GiB    4 KiB   1.2 GiB   15 TiB  0.84  1.02  181      up
30    hdd  14.67400   1.00000   15 TiB  126 GiB  2.0 GiB    4 KiB   1.3 GiB   15 TiB  0.84  1.02  185      up
33    hdd  14.67400   1.00000   15 TiB  126 GiB  1.9 GiB    4 KiB   1.1 GiB   15 TiB  0.84  1.02  180      up
36    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    5 KiB   1.0 GiB   15 TiB  0.84  1.02  181      up
39    hdd  14.67400   1.00000   15 TiB  126 GiB  2.3 GiB    8 KiB   364 MiB   15 TiB  0.84  1.02  182      up
42    hdd  14.67400   1.00000   15 TiB  126 GiB  2.1 GiB    4 KiB  1006 MiB   15 TiB  0.84  1.02  180      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.7 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  170      up
