======================================== [1] 2025-12-02 17:12:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   0                  0
 31                   0                  0
 23                   0                  0
 20                   0                  0
 34                   0                  0
 16                   0                  0
 13                   0                  0
 10                   0                  0
 38                   0                  0
 28                   0                  0
 25                   0                  0
 14                   0                  0
 44                   0                  0
 43                   0                  0
 29                   0                  0
 37                   0                  0
  8                   0                  0
  5                   0                  0
 17                   0                  0
 30                   0                  0
  1                   0                  0
 27                   0                  0
 24                   0                  0
 15                   0                  0
  2                   0                  0
 33                   0                  0
  4                   0                  0
  6                   0                  0
 35                   0                  0
  3                   0                  0
 32                   0                  0
 39                   0                  0
  0                   0                  0
  9                   0                  0
 12                   0                  0
 18                   0                  0
 19                   0                  0
 42                   0                  0
 11                   0                  0
 40                   0                  0
 21                   0                  0
 36                   0                  0
  7                   0                  0
 22                   0                  0
 26                   0                  0

======================================== [2] 2025-12-02 17:12:44
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   0                  0
 31                  49                 49
 23                  14                 14
 20                  44                 44
 34                   6                  6
 16                  26                 26
 13                   8                  8
 10                  13                 13
 38                   0                  0
 28                  44                 44
 25                   0                  0
 14                   2                  2
 44                   0                  0
 43                   0                  0
 29                   0                  0
 37                  30                 30
  8                   0                  0
  5                   0                  0
 17                   0                  0
 30                  22                 22
  1                   0                  0
 27                   6                  6
 24                   0                  0
 15                  34                 34
  2                   0                  0
 33                  19                 19
  4                   0                  0
  6                   0                  0
 35                   3                  3
  3                   0                  0
 32                   6                  6
 39                  32                 32
  0                   0                  0
  9                   2                  2
 12                   3                  3
 18                   0                  0
 19                   1                  1
 42                  31                 31
 11                  17                 17
 40                  36                 36
 21                  49                 49
 36                  43                 43
  7                   0                  0
 22                  14                 14
 26                  23                 23

======================================== [3] 2025-12-02 17:12:51
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  46                 46
 31                  48                 48
 23                  24                 24
 20                  32                 32
 34                  64                 64
 16                  62                 62
 13                   5                  5
 10                  35                 35
 38                  28                 28
 28                  28                 28
 25                  45                 45
 14                  31                 31
 44                  17                 17
 43                  24                 24
 29                  22                 22
 37                  28                 28
  8                   0                  0
  5                   0                  0
 17                  43                 43
 30                   6                  6
  1                   0                  0
 27                   5                  5
 24                  31                 31
 15                  32                 32
  2                   0                  0
 33                  21                 21
  4                   0                  0
  6                   0                  0
 35                  26                 26
  3                   0                  0
 32                  13                 13
 39                  21                 21
  0                   0                  0
  9                  15                 15
 12                  38                 38
 18                   3                  3
 19                  26                 26
 42                  15                 15
 11                  19                 19
 40                  32                 32
 21                  13                 13
 36                  34                 34
  7                   0                  0
 22                  24                 24
 26                  15                 15

======================================== [4] 2025-12-02 17:12:58
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  15                 15
 31                  23                 23
 23                  21                 21
 20                   9                  9
 34                  10                 10
 16                  25                 25
 13                   8                  8
 10                  28                 28
 38                  29                 29
 28                  15                 15
 25                  24                 24
 14                  26                 26
 44                  26                 26
 43                  26                 26
 29                  28                 28
 37                  22                 22
  8                   0                  0
  5                   0                  0
 17                  24                 24
 30                   3                  3
  1                   0                  0
 27                  13                 13
 24                  38                 38
 15                  14                 14
  2                   0                  0
 33                   1                  1
  4                   0                  0
  6                   0                  0
 35                  23                 23
  3                   0                  0
 32                   8                  8
 39                  54                 54
  0                   0                  0
  9                  32                 32
 12                  14                 14
 18                  23                 23
 19                  56                 56
 42                  20                 20
 11                  29                 29
 40                  39                 39
 21                  22                 22
 36                  30                 30
  7                   0                  0
 22                  18                 18
 26                   7                  7

======================================== [5] 2025-12-02 17:13:05
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  36                 36
 31                  48                 48
 23                  48                 48
 20                  45                 45
 34                  18                 18
 16                  20                 20
 13                  27                 27
 10                  29                 29
 38                  31                 31
 28                  40                 40
 25                   6                  6
 14                  13                 13
 44                  31                 31
 43                   2                  2
 29                  22                 22
 37                  48                 48
  8                   0                  0
  5                   0                  0
 17                   5                  5
 30                   9                  9
  1                   0                  0
 27                  13                 13
 24                   8                  8
 15                  15                 15
  2                   0                  0
 33                  16                 16
  4                   0                  0
  6                   0                  0
 35                  25                 25
  3                   0                  0
 32                   4                  4
 39                   9                  9
  0                   0                  0
  9                  31                 31
 12                   4                  4
 18                  11                 11
 19                  19                 19
 42                   8                  8
 11                  16                 16
 40                  12                 12
 21                  32                 32
 36                  12                 12
  7                   0                  0
 22                   7                  7
 26                  28                 28

======================================== [6] 2025-12-02 17:13:11
