======================================== [1] 2025-12-03 11:35:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   0                  0
 34                   0                  0
 19                   0                  0
 15                   0                  0
 12                   0                  0
 44                   0                  0
 28                   0                  0
 25                   0                  0
 22                   0                  0
  9                   0                  0
 43                   0                  0
 37                   0                  0
 31                   0                  0
 27                   0                  0
 16                   0                  0
 13                   0                  0
 23                   0                  0
 42                   0                  0
 35                   0                  0
  6                   0                  0
  4                   0                  0
 33                   0                  0
 17                   0                  0
  1                   0                  0
 30                   0                  0
 14                   0                  0
 11                   0                  0
 40                   0                  0
  8                   0                  0
 20                   0                  0
  7                   0                  0
 36                   0                  0
  5                   0                  0
  2                   0                  0
 26                   0                  0
 29                   0                  0
  0                   0                  0
 32                   0                  0
  3                   0                  0
 38                   0                  0
 39                   0                  0
 10                   0                  0
 18                   0                  0
 21                   0                  0
 24                   0                  0

======================================== [2] 2025-12-03 11:35:45
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  28                 28
 34                  31                 31
 19                  38                 38
 15                  21                 21
 12                  30                 30
 44                  34                 34
 28                  34                 34
 25                  29                 29
 22                  32                 32
  9                   7                  7
 43                  32                 32
 37                  27                 27
 31                  36                 36
 27                  35                 35
 16                  29                 29
 13                  30                 30
 23                   8                  8
 42                  31                 31
 35                  35                 35
  6                   0                  0
  4                   0                  0
 33                  26                 26
 17                  34                 34
  1                   0                  0
 30                  17                 17
 14                  33                 33
 11                  31                 31
 40                  28                 28
  8                   0                  0
 20                  39                 39
  7                   0                  0
 36                  33                 33
  5                   0                  0
  2                   0                  0
 26                  33                 33
 29                  33                 33
  0                   0                  0
 32                  32                 32
  3                   0                  0
 38                  30                 30
 39                  36                 36
 10                  34                 34
 18                  34                 34
 21                  33                 33
 24                   5                  5

======================================== [3] 2025-12-03 11:36:33
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  56                 56
 34                  44                 44
 19                  49                 49
 15                  44                 44
 12                  37                 37
 44                  38                 38
 28                  42                 42
 25                  44                 44
 22                  40                 40
  9                   8                  8
 43                  39                 39
 37                  43                 43
 31                  53                 53
 27                  41                 41
 16                  43                 43
 13                  40                 40
 23                   6                  6
 42                  47                 47
 35                  53                 53
  6                   0                  0
  4                   0                  0
 33                  41                 41
 17                  38                 38
  1                   0                  0
 30                  39                 39
 14                  44                 44
 11                  46                 46
 40                  40                 40
  8                   0                  0
 20                  40                 40
  7                   0                  0
 36                  46                 46
  5                   0                  0
  2                   0                  0
 26                  42                 42
 29                  41                 41
  0                   0                  0
 32                  48                 48
  3                   0                  0
 38                  46                 46
 39                  45                 45
 10                  41                 41
 18                  47                 47
 21                  43                 43
 24                  14                 14

======================================== [4] 2025-12-03 11:37:24
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  38                 38
 34                  37                 37
 19                  40                 40
 15                  32                 32
 12                  33                 33
 44                  21                 21
 28                  33                 33
 25                  25                 25
 22                  32                 32
  9                  12                 12
 43                  20                 20
 37                  36                 36
 31                  17                 17
 27                  28                 28
 16                  24                 24
 13                  33                 33
 23                   8                  8
 42                  36                 36
 35                  25                 25
  6                   0                  0
  4                   0                  0
 33                  36                 36
 17                  37                 37
  1                   0                  0
 30                  27                 27
 14                  25                 25
 11                  33                 33
 40                  29                 29
  8                   0                  0
 20                  33                 33
  7                   0                  0
 36                  26                 26
  5                   0                  0
  2                   0                  0
 26                  35                 35
 29                  33                 33
  0                   0                  0
 32                  36                 36
  3                   0                  0
 38                  30                 30
 39                  34                 34
 10                  26                 26
 18                  34                 34
 21                  34                 34
 24                  10                 10

======================================== [5] 2025-12-03 11:38:11
=== OSD Performance ===
2025-12-03T11:38:52.236+0800 55cc47fc6c0 -1 monclient: get_monmap_and_config failed to get config
2025-12-03T11:38:55.238+0800 55cc47fc6c0 -1 monclient: get_monmap_and_config failed to get config
osd  commit_latency(ms)  apply_latency(ms)
 41                  43                 43
 34                  37                 37
 19                  41                 41
 15                  50                 50
 12                  44                 44
 44                  38                 38
 28                  44                 44
 25                  40                 40
 22                  37                 37
  9                   6                  6
 43                  41                 41
 37                  38                 38
 31                  47                 47
 27                  40                 40
 16                  48                 48
 13                  42                 42
 23                   8                  8
 42                  46                 46
 35                  41                 41
  6                   0                  0
  4                   0                  0
 33                  42                 42
 17                  44                 44
  1                   0                  0
 30                  42                 42
 14                  47                 47
 11                  45                 45
 40                  46                 46
  8                   0                  0
 20                  34                 34
  7                   0                  0
 36                  50                 50
  5                   0                  0
  2                   0                  0
 26                  48                 48
 29                  45                 45
  0                   0                  0
 32                  36                 36
  3                   0                  0
 38                  35                 35
 39                  43                 43
 10                  41                 41
 18                  38                 38
 21                  31                 31
 24                  12                 12

