======================================== [1] 2025-12-03 18:44:23
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP    META      AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.57399   1.00000   15 TiB   24 GiB  1.9 GiB   1 KiB   1.1 GiB   15 TiB  0.16  1.01  176      up
12    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB  1021 MiB   15 TiB  0.16  1.02  183      up
15    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   959 MiB   15 TiB  0.16  1.02  181      up
19    hdd  14.57399   1.00000   15 TiB   24 GiB  2.0 GiB   1 KiB   940 MiB   15 TiB  0.16  1.02  178      up
22    hdd  14.57399   1.00000   15 TiB   24 GiB  2.3 GiB   1 KiB   1.1 GiB   15 TiB  0.16  1.03  183      up
25    hdd  14.57399   1.00000   15 TiB   24 GiB  2.0 GiB   1 KiB   974 MiB   15 TiB  0.16  1.02  173      up
28    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   953 MiB   15 TiB  0.16  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   24 GiB  2.3 GiB   1 KiB   1.1 GiB   15 TiB  0.16  1.03  182      up
34    hdd  14.57399   1.00000   15 TiB   24 GiB  2.0 GiB   1 KiB   994 MiB   15 TiB  0.16  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   1.1 GiB   15 TiB  0.16  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   24 GiB  2.0 GiB   1 KiB   977 MiB   15 TiB  0.16  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   24 GiB  2.2 GiB   1 KiB   1.0 GiB   15 TiB  0.16  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB    30 MiB  1.2 TiB  0.00  0.02  171      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB    30 MiB  1.2 TiB  0.00  0.02  169      up
 6   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB    30 MiB  1.2 TiB  0.00  0.02  173      up
10    hdd  14.57399   1.00000   15 TiB   24 GiB  2.0 GiB   1 KiB   979 MiB   15 TiB  0.16  1.02  180      up
13    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB  1005 MiB   15 TiB  0.16  1.02  182      up
16    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB  1020 MiB   15 TiB  0.16  1.02  182      up
18    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   944 MiB   15 TiB  0.16  1.02  175      up
21    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   1.0 GiB   15 TiB  0.16  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   1.2 GiB   15 TiB  0.16  1.02  181      up
27    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB  1005 MiB   15 TiB  0.16  1.02  178      up
30    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB  1016 MiB   15 TiB  0.16  1.02  175      up
33    hdd  14.57399   1.00000   15 TiB   24 GiB  2.2 GiB   1 KiB   1.1 GiB   15 TiB  0.16  1.02  183      up
36    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB  1013 MiB   15 TiB  0.16  1.02  174      up
40    hdd  14.57399   1.00000   15 TiB   24 GiB  2.1 GiB   1 KiB   954 MiB   15 TiB  0.16  1.02  169      up
43    hdd  14.57399   1.00000   15 TiB   24 GiB  2.0 GiB   1 KiB   950 MiB   15 TiB  0.16  1.02  177      up
 1   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB    30 MiB  1.2 TiB  0.00  0.02  169      up
 4   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB    30 MiB  1.2 TiB  0.00  0.02  173      up
