======================================== [1] 2025-12-05 09:59:36
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP    META     AVAIL    %USE  VAR   PGS  STATUS
10    hdd  14.57399   1.00000   15 TiB   22 GiB  4.3 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  173      up
12    hdd  14.57399   1.00000   15 TiB   22 GiB  4.4 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  179      up
15    hdd  14.57399   1.00000   15 TiB   22 GiB  4.5 MiB   1 KiB   97 MiB   15 TiB  0.15  1.02  179      up
18    hdd  14.57399   1.00000   15 TiB   22 GiB  4.3 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  182      up
21    hdd  14.57399   1.00000   15 TiB   22 GiB  4.6 MiB   1 KiB  110 MiB   15 TiB  0.15  1.02  177      up
25    hdd  14.57399   1.00000   15 TiB   22 GiB  4.5 MiB   1 KiB   74 MiB   15 TiB  0.15  1.02  181      up
28    hdd  14.57399   1.00000   15 TiB   22 GiB  4.4 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  177      up
31    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB  125 MiB   15 TiB  0.15  1.02  173      up
34    hdd  14.57399   1.00000   15 TiB   22 GiB  4.4 MiB   1 KiB   79 MiB   15 TiB  0.15  1.02  174      up
38    hdd  14.57399   1.00000   15 TiB   22 GiB  4.3 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  185      up
41    hdd  14.57399   1.00000   15 TiB   22 GiB  4.4 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  179      up
42    hdd  14.57399   1.00000   15 TiB   22 GiB  4.3 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  177      up
 0   nvme   1.21289   1.00000  1.2 TiB   31 MiB  4.3 MiB   1 KiB   26 MiB  1.2 TiB  0.00  0.02   12      up
