======================================== [1] 2025-12-05 10:21:45
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA      OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
10    hdd  14.57399   1.00000   15 TiB   23 GiB   981 MiB    4 KiB   784 MiB   15 TiB  0.15  1.02  173      up
12    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  179      up
15    hdd  14.57399   1.00000   15 TiB   23 GiB   969 MiB    4 KiB   758 MiB   15 TiB  0.15  1.02  179      up
18    hdd  14.57399   1.00000   15 TiB   23 GiB   979 MiB    5 KiB   768 MiB   15 TiB  0.15  1.02  182      up
21    hdd  14.57399   1.00000   15 TiB   23 GiB  1009 MiB    5 KiB   931 MiB   15 TiB  0.15  1.02  177      up
25    hdd  14.57399   1.00000   15 TiB   23 GiB   965 MiB    4 KiB   747 MiB   15 TiB  0.15  1.02  181      up
28    hdd  14.57399   1.00000   15 TiB   23 GiB   986 MiB    4 KiB   799 MiB   15 TiB  0.15  1.02  177      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB  1009 MiB    4 KiB   1.2 GiB   15 TiB  0.15  1.02  173      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB  1002 MiB    4 KiB   874 MiB   15 TiB  0.15  1.02  174      up
38    hdd  14.57399   1.00000   15 TiB   23 GiB   934 MiB    5 KiB   947 MiB   15 TiB  0.15  1.02  185      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB   994 MiB    4 KiB   844 MiB   15 TiB  0.15  1.02  179      up
42    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    5 KiB  1005 MiB   15 TiB  0.15  1.02  177      up
 0   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   12      up
 4   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02    7      up
 7   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   14      up
 9    hdd  14.57399   1.00000   15 TiB   23 GiB  1006 MiB    4 KiB   1.2 GiB   15 TiB  0.15  1.02  178      up
13    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    4 KiB   1.2 GiB   15 TiB  0.15  1.02  178      up
16    hdd  14.57399   1.00000   15 TiB   23 GiB   924 MiB    4 KiB   639 MiB   15 TiB  0.15  1.02  177      up
20    hdd  14.57399   1.00000   15 TiB   23 GiB   983 MiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  174      up
22    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    5 KiB   990 MiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   23 GiB   987 MiB    4 KiB   846 MiB   15 TiB  0.15  1.02  186      up
27    hdd  14.57399   1.00000   15 TiB   23 GiB   982 MiB    4 KiB   788 MiB   15 TiB  0.15  1.02  172      up
30    hdd  14.57399   1.00000   15 TiB   23 GiB  1024 MiB    5 KiB   968 MiB   15 TiB  0.15  1.02  181      up
33    hdd  14.57399   1.00000   15 TiB   23 GiB   975 MiB    4 KiB   804 MiB   15 TiB  0.15  1.02  173      up
36    hdd  14.57399   1.00000   15 TiB   23 GiB   995 MiB    4 KiB   835 MiB   15 TiB  0.15  1.02  181      up
39    hdd  14.57399   1.00000   15 TiB   23 GiB   989 MiB    5 KiB   828 MiB   15 TiB  0.15  1.02  177      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    5 KiB   1.2 GiB   15 TiB  0.15  1.02  180      up
 1   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   15      up
 3   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02    7      up
 6   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   10      up
11    hdd  14.57399   1.00000   15 TiB   23 GiB  1004 MiB    4 KiB   883 MiB   15 TiB  0.15  1.02  175      up
14    hdd  14.57399   1.00000   15 TiB   23 GiB  1006 MiB    4 KiB   870 MiB   15 TiB  0.15  1.02  182      up
17    hdd  14.57399   1.00000   15 TiB   23 GiB   973 MiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  178      up
19    hdd  14.57399   1.00000   15 TiB   23 GiB  1001 MiB    4 KiB   866 MiB   15 TiB  0.15  1.02  178      up
23    hdd  14.57399   1.00000   15 TiB   23 GiB  1012 MiB    4 KiB   901 MiB   15 TiB  0.15  1.02  177      up
26    hdd  14.57399   1.00000   15 TiB   23 GiB   953 MiB    4 KiB   736 MiB   15 TiB  0.15  1.02  173      up
29    hdd  14.57399   1.00000   15 TiB   23 GiB  1000 MiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  174      up
32    hdd  14.57399   1.00000   15 TiB   23 GiB  1012 MiB    4 KiB   896 MiB   15 TiB  0.15  1.02  179      up
35    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    4 KiB   1.3 GiB   15 TiB  0.15  1.02  176      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB  1023 MiB    4 KiB   950 MiB   15 TiB  0.15  1.02  186      up
40    hdd  14.57399   1.00000   15 TiB   23 GiB   956 MiB    6 KiB   711 MiB   15 TiB  0.15  1.02  179      up
43    hdd  14.57399   1.00000   15 TiB   23 GiB   965 MiB    5 KiB   770 MiB   15 TiB  0.15  1.02  180      up
 2   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02    7      up
 5   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   12      up
 8   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   13      up
                        TOTAL  536 TiB  818 GiB    35 GiB  187 KiB    33 GiB  535 TiB  0.15                   
MIN/MAX VAR: 0.02/1.02  STDDEV: 0.07

======================================== [2] 2025-12-05 10:21:52
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA      OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
10    hdd  14.57399   1.00000   15 TiB   23 GiB   981 MiB    4 KiB   807 MiB   15 TiB  0.15  1.02  173      up
12    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  179      up
15    hdd  14.57399   1.00000   15 TiB   23 GiB   969 MiB    4 KiB   825 MiB   15 TiB  0.15  1.02  179      up
18    hdd  14.57399   1.00000   15 TiB   23 GiB   979 MiB    5 KiB   791 MiB   15 TiB  0.15  1.02  182      up
21    hdd  14.57399   1.00000   15 TiB   23 GiB  1009 MiB    5 KiB   977 MiB   15 TiB  0.15  1.02  177      up
25    hdd  14.57399   1.00000   15 TiB   23 GiB   965 MiB    4 KiB   778 MiB   15 TiB  0.15  1.02  181      up
28    hdd  14.57399   1.00000   15 TiB   23 GiB   986 MiB    4 KiB   827 MiB   15 TiB  0.15  1.02  177      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB  1009 MiB    4 KiB   1.2 GiB   15 TiB  0.15  1.02  173      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB  1002 MiB    4 KiB   879 MiB   15 TiB  0.15  1.02  174      up
38    hdd  14.57399   1.00000   15 TiB   23 GiB   934 MiB    5 KiB   955 MiB   15 TiB  0.15  1.02  185      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB   994 MiB    4 KiB   849 MiB   15 TiB  0.15  1.02  179      up
42    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    5 KiB   1.0 GiB   15 TiB  0.15  1.02  177      up
 0   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   12      up
 4   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02    7      up
 7   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   14      up
 9    hdd  14.57399   1.00000   15 TiB   23 GiB  1006 MiB    4 KiB   1.2 GiB   15 TiB  0.15  1.02  178      up
13    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    4 KiB   1.2 GiB   15 TiB  0.15  1.02  178      up
16    hdd  14.57399   1.00000   15 TiB   23 GiB   924 MiB    4 KiB   647 MiB   15 TiB  0.15  1.02  177      up
20    hdd  14.57399   1.00000   15 TiB   23 GiB   983 MiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  174      up
22    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    5 KiB  1013 MiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   23 GiB   987 MiB    4 KiB   856 MiB   15 TiB  0.15  1.02  186      up
27    hdd  14.57399   1.00000   15 TiB   23 GiB   982 MiB    4 KiB   829 MiB   15 TiB  0.15  1.02  172      up
30    hdd  14.57399   1.00000   15 TiB   23 GiB  1024 MiB    5 KiB   991 MiB   15 TiB  0.15  1.02  181      up
33    hdd  14.57399   1.00000   15 TiB   23 GiB   975 MiB    4 KiB   827 MiB   15 TiB  0.15  1.02  173      up
36    hdd  14.57399   1.00000   15 TiB   23 GiB   995 MiB    4 KiB   866 MiB   15 TiB  0.15  1.02  181      up
39    hdd  14.57399   1.00000   15 TiB   23 GiB   989 MiB    5 KiB   813 MiB   15 TiB  0.15  1.02  177      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    5 KiB   1.2 GiB   15 TiB  0.15  1.02  180      up
 1   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   15      up
 3   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02    7      up
 6   nvme   1.21289   1.00000  1.2 TiB   31 MiB   4.3 MiB    1 KiB    26 MiB  1.2 TiB  0.00  0.02   10      up
11    hdd  14.57399   1.00000   15 TiB   23 GiB  1004 MiB    4 KiB   883 MiB   15 TiB  0.15  1.02  175      up
14    hdd  14.57399   1.00000   15 TiB   23 GiB  1006 MiB    4 KiB   875 MiB   15 TiB  0.15  1.02  182      up
17    hdd  14.57399   1.00000   15 TiB   23 GiB   973 MiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  178      up
19    hdd  14.57399   1.00000   15 TiB   23 GiB  1001 MiB    4 KiB   879 MiB   15 TiB  0.15  1.02  178      up
23    hdd  14.57399   1.00000   15 TiB   23 GiB  1012 MiB    4 KiB   914 MiB   15 TiB  0.15  1.02  177      up
26    hdd  14.57399   1.00000   15 TiB   23 GiB   953 MiB    4 KiB   741 MiB   15 TiB  0.15  1.02  173      up
29    hdd  14.57399   1.00000   15 TiB   23 GiB  1000 MiB    4 KiB   1.1 GiB   15 TiB  0.15  1.02  174      up
32    hdd  14.57399   1.00000   15 TiB   23 GiB  1012 MiB    4 KiB   919 MiB   15 TiB  0.15  1.02  179      up
35    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    4 KiB   1.3 GiB   15 TiB  0.15  1.02  176      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB  1023 MiB    4 KiB   968 MiB   15 TiB  0.15  1.02  186      up
40    hdd  14.57399   1.00000   15 TiB   23 GiB   956 MiB    6 KiB   734 MiB   15 TiB  0.15  1.02  179      up
