======================================== [1] 2025-12-05 11:19:45
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP    META     AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  180      up
12    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  179      up
15    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  176      up
18    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  173      up
21    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  172      up
24    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  165      up
27    hdd  14.67400   1.00000   15 TiB  124 GiB  4.5 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  179      up
30    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  188      up
33    hdd  14.67400   1.00000   15 TiB  124 GiB  5.1 MiB   1 KiB  102 MiB   15 TiB  0.83  1.02  180      up
36    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  179      up
39    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   74 MiB   15 TiB  0.83  1.02  182      up
42    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  183      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.6 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  166      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  173      up
 6   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  174      up
10    hdd  14.67400   1.00000   15 TiB  124 GiB  4.5 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  173      up
13    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  178      up
16    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  191      up
19    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  170      up
22    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  171      up
25    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  181      up
28    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  189      up
31    hdd  14.67400   1.00000   15 TiB  124 GiB  4.5 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  189      up
34    hdd  14.67400   1.00000   15 TiB  124 GiB  5.2 MiB   1 KiB   92 MiB   15 TiB  0.83  1.02  166      up
37    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  167      up
40    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  178      up
43    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  184      up
 1   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.6 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  168      up
 4   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  171      up
11    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  176      up
14    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  184      up
17    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  190      up
20    hdd  14.67400   1.00000   15 TiB  124 GiB  4.5 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  166      up
23    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  168      up
26    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  176      up
29    hdd  14.67400   1.00000   15 TiB  124 GiB  4.5 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  175      up
32    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   79 MiB   15 TiB  0.83  1.02  166      up
35    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  176      up
38    hdd  14.67400   1.00000   15 TiB  124 GiB  5.1 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  187      up
41    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  188      up
44    hdd  14.67400   1.00000   15 TiB  124 GiB  4.6 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  183      up
 2   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  170      up
 5   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  174      up
 8   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.6 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  170      up
                        TOTAL  539 TiB  4.4 TiB  207 MiB  70 KiB  3.2 GiB  535 TiB  0.81                   
MIN/MAX VAR: 0.00/1.02  STDDEV: 0.36

======================================== [2] 2025-12-05 11:19:52
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP    META     AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.67400   1.00000   15 TiB  124 GiB  9.8 MiB   1 KiB   74 MiB   15 TiB  0.83  1.02  180      up
12    hdd  14.67400   1.00000   15 TiB  124 GiB   14 MiB   1 KiB   79 MiB   15 TiB  0.83  1.02  179      up
15    hdd  14.67400   1.00000   15 TiB  124 GiB  5.9 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  176      up
18    hdd  14.67400   1.00000   15 TiB  124 GiB   14 MiB   1 KiB   74 MiB   15 TiB  0.83  1.02  173      up
21    hdd  14.67400   1.00000   15 TiB  124 GiB   16 MiB   1 KiB   97 MiB   15 TiB  0.83  1.02  172      up
24    hdd  14.67400   1.00000   15 TiB  124 GiB  5.9 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  165      up
27    hdd  14.67400   1.00000   15 TiB  124 GiB  7.2 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  179      up
30    hdd  14.67400   1.00000   15 TiB  124 GiB  8.3 MiB   1 KiB  210 MiB   15 TiB  0.83  1.02  188      up
33    hdd  14.67400   1.00000   15 TiB  124 GiB  8.7 MiB   1 KiB  110 MiB   15 TiB  0.83  1.02  180      up
36    hdd  14.67400   1.00000   15 TiB  124 GiB  7.8 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  179      up
39    hdd  14.67400   1.00000   15 TiB  124 GiB  7.8 MiB   1 KiB   79 MiB   15 TiB  0.83  1.02  182      up
42    hdd  14.67400   1.00000   15 TiB  124 GiB  7.1 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  183      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.6 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  166      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  173      up
 6   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.5 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.00  174      up
10    hdd  14.67400   1.00000   15 TiB  124 GiB  9.7 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  173      up
13    hdd  14.67400   1.00000   15 TiB  124 GiB   15 MiB   1 KiB   97 MiB   15 TiB  0.83  1.02  178      up
16    hdd  14.67400   1.00000   15 TiB  124 GiB  7.4 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  189      up
19    hdd  14.67400   1.00000   15 TiB  124 GiB   13 MiB   1 KiB  308 MiB   15 TiB  0.83  1.02  170      up
22    hdd  14.67400   1.00000   15 TiB  124 GiB  6.7 MiB   1 KiB   84 MiB   15 TiB  0.83  1.02  171      up
