======================================== [1] 2025-12-05 11:19:45
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   0                  0
 23                   0                  0
 41                   0                  0
 38                   0                  0
 29                   0                  0
 20                   0                  0
 17                   0                  0
 14                   0                  0
 44                   0                  0
 35                   0                  0
 34                   0                  0
 32                   0                  0
 25                   0                  0
 22                   0                  0
 11                   0                  0
 43                   0                  0
  7                   0                  0
 36                   0                  0
  4                   0                  0
 33                   0                  0
 24                   0                  0
 15                   0                  0
 21                   0                  0
 18                   0                  0
 12                   0                  0
  6                   0                  0
 27                   0                  0
  1                   0                  0
 30                   0                  0
 16                   0                  0
  3                   0                  0
  0                   0                  0
 31                   0                  0
  2                   0                  0
 39                   0                  0
 10                   0                  0
 42                   0                  0
 13                   0                  0
  9                   0                  0
  8                   0                  0
 37                   0                  0
 19                   0                  0
 40                   0                  0
  5                   0                  0
 28                   0                  0

======================================== [2] 2025-12-05 11:19:52
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   2                  2
 41                   2                  2
 38                   2                  2
 29                   3                  3
 20                   2                  2
 17                   9                  9
 14                   2                  2
 44                   2                  2
 35                   2                  2
 34                   2                  2
 32                   2                  2
 25                   2                  2
 22                   2                  2
 11                   2                  2
 43                   4                  4
  7                   0                  0
 36                   1                  1
  4                   0                  0
 33                   2                  2
 24                   1                  1
 15                   1                  1
 21                   3                  3
 18                   4                  4
 12                   5                  5
  6                   0                  0
 27                   1                  1
  1                   0                  0
 30                  13                 13
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   3                  3
  2                   0                  0
 39                   1                  1
 10                   2                  2
 42                   2                  2
 13                   2                  2
  9                   2                  2
  8                   0                  0
 37                   2                  2
 19                  10                 10
 40                   2                  2
  5                   0                  0
 28                   4                  4

======================================== [3] 2025-12-05 11:19:59
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   5                  5
 41                   2                  2
 38                   5                  5
 29                   6                  6
 20                   3                  3
 17                   4                  4
 14                   3                  3
 44                   4                  4
 35                   4                  4
 34                   4                  4
 32                   3                  3
 25                   4                  4
 22                   3                  3
 11                   4                  4
 43                   4                  4
  7                   0                  0
 36                   3                  3
  4                   0                  0
 33                   3                  3
 24                   3                  3
 15                   5                  5
 21                   5                  5
 18                   6                  6
 12                   3                  3
  6                   0                  0
 27                   3                  3
  1                   0                  0
 30                   7                  7
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   2                  2
  2                   0                  0
 39                   4                  4
 10                   4                  4
 42                   4                  4
 13                   3                  3
  9                   3                  3
  8                   0                  0
 37                   2                  2
 19                   3                  3
 40                   3                  3
  5                   0                  0
 28                   5                  5

======================================== [4] 2025-12-05 11:20:06
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   5                  5
 41                   4                  4
 38                   3                  3
 29                   2                  2
 20                   3                  3
 17                   2                  2
 14                   2                  2
 44                   4                  4
 35                   5                  5
 34                   5                  5
 32                   5                  5
 25                   1                  1
 22                   2                  2
 11                   4                  4
 43                   3                  3
  7                   0                  0
 36                   2                  2
  4                   0                  0
 33                   4                  4
 24                   3                  3
 15                   5                  5
 21                   4                  4
 18                   6                  6
 12                   5                  5
  6                   0                  0
 27                   6                  6
  1                   0                  0
 30                   2                  2
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   2                  2
  2                   0                  0
 39                   2                  2
 10                   2                  2
 42                   6                  6
 13                   2                  2
  9                   3                  3
  8                   0                  0
 37                   3                  3
 19                   1                  1
 40                   2                  2
  5                   0                  0
 28                   2                  2

======================================== [5] 2025-12-05 11:20:13
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   8                  8
 41                   2                  2
 38                   5                  5
 29                   4                  4
 20                   3                  3
 17                   2                  2
 14                   3                  3
 44                   4                  4
 35                   4                  4
 34                   2                  2
 32                   4                  4
 25                   2                  2
 22                   1                  1
 11                   3                  3
 43                   2                  2
  7                   0                  0
 36                   2                  2
  4                   0                  0
 33                   4                  4
 24                   3                  3
 15                   7                  7
 21                   4                  4
 18                   5                  5
 12                   3                  3
  6                   0                  0
 27                   6                  6
  1                   0                  0
 30                   3                  3
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   2                  2
  2                   0                  0
 39                   2                  2
 10                   3                  3
 42                   2                  2
 13                   1                  1
  9                   2                  2
  8                   0                  0
 37                   1                  1
 19                   2                  2
 40                   2                  2
  5                   0                  0
 28                   2                  2

======================================== [6] 2025-12-05 11:20:20
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   6                  6
 41                   2                  2
 38                   4                  4
 29                   5                  5
 20                   5                  5
 17                   3                  3
 14                   2                  2
 44                   3                  3
 35                   2                  2
 34                   3                  3
 32                   2                  2
 25                   2                  2
 22                   2                  2
 11                   3                  3
 43                   2                  2
  7                   0                  0
 36                   2                  2
  4                   0                  0
 33                   3                  3
 24                   5                  5
 15                   5                  5
 21                   6                  6
 18                   4                  4
 12                   4                  4
  6                   0                  0
 27                   3                  3
  1                   0                  0
 30                   2                  2
 16                   3                  3
  3                   0                  0
  0                   0                  0
 31                   2                  2
  2                   0                  0
 39                   4                  4
