======================================== [1] 2025-12-05 11:32:37
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.67400   1.00000   15 TiB  125 GiB  894 MiB    4 KiB   545 MiB   15 TiB  0.83  1.02  176      up
12    hdd  14.67400   1.00000   15 TiB  125 GiB  884 MiB    4 KiB   831 MiB   15 TiB  0.83  1.02  179      up
15    hdd  14.67400   1.00000   15 TiB  125 GiB  863 MiB    4 KiB   1.0 GiB   15 TiB  0.83  1.02  176      up
18    hdd  14.67400   1.00000   15 TiB  125 GiB  879 MiB    4 KiB   1.0 GiB   15 TiB  0.83  1.02  174      up
21    hdd  14.67400   1.00000   15 TiB  125 GiB  874 MiB    4 KiB   1.0 GiB   15 TiB  0.83  1.02  175      up
24    hdd  14.67400   1.00000   15 TiB  125 GiB  896 MiB    4 KiB   520 MiB   15 TiB  0.83  1.02  174      up
27    hdd  14.67400   1.00000   15 TiB  125 GiB  908 MiB    4 KiB   545 MiB   15 TiB  0.83  1.02  179      up
30    hdd  14.67400   1.00000   15 TiB  125 GiB  856 MiB    4 KiB   835 MiB   15 TiB  0.83  1.02  184      up
33    hdd  14.67400   1.00000   15 TiB  125 GiB  895 MiB    5 KiB   538 MiB   15 TiB  0.83  1.02  180      up
36    hdd  14.67400   1.00000   15 TiB  125 GiB  907 MiB    5 KiB   538 MiB   15 TiB  0.83  1.02  179      up
39    hdd  14.67400   1.00000   15 TiB  125 GiB  929 MiB    4 KiB   608 MiB   15 TiB  0.83  1.02  182      up
42    hdd  14.67400   1.00000   15 TiB  125 GiB  897 MiB    5 KiB   597 MiB   15 TiB  0.83  1.02  178      up
 0   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  166      up
 3   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  173      up
 6   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  174      up
10    hdd  14.67400   1.00000   15 TiB  125 GiB  886 MiB    4 KiB   504 MiB   15 TiB  0.83  1.02  173      up
13    hdd  14.67400   1.00000   15 TiB  125 GiB  900 MiB    5 KiB   565 MiB   15 TiB  0.83  1.02  178      up
16    hdd  14.67400   1.00000   15 TiB  125 GiB  903 MiB    4 KiB   612 MiB   15 TiB  0.83  1.02  182      up
19    hdd  14.67400   1.00000   15 TiB  125 GiB  832 MiB    4 KiB   657 MiB   15 TiB  0.83  1.02  173      up
22    hdd  14.67400   1.00000   15 TiB  125 GiB  824 MiB    4 KiB   920 MiB   15 TiB  0.83  1.02  175      up
25    hdd  14.67400   1.00000   15 TiB  125 GiB  889 MiB    5 KiB   506 MiB   15 TiB  0.83  1.02  180      up
28    hdd  14.67400   1.00000   15 TiB  125 GiB  934 MiB    4 KiB   681 MiB   15 TiB  0.83  1.02  182      up
31    hdd  14.67400   1.00000   15 TiB  125 GiB  865 MiB    4 KiB   1.0 GiB   15 TiB  0.83  1.02  181      up
34    hdd  14.67400   1.00000   15 TiB  125 GiB  863 MiB    5 KiB  1024 MiB   15 TiB  0.83  1.02  176      up
37    hdd  14.67400   1.00000   15 TiB  125 GiB  912 MiB    4 KiB   546 MiB   15 TiB  0.83  1.02  178      up
40    hdd  14.67400   1.00000   15 TiB  125 GiB  959 MiB    4 KiB   702 MiB   15 TiB  0.83  1.02  177      up
43    hdd  14.67400   1.00000   15 TiB  125 GiB  915 MiB    4 KiB   606 MiB   15 TiB  0.83  1.02  182      up
 1   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  168      up
 4   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   37 MiB  6.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.00  171      up
11    hdd  14.67400   1.00000   15 TiB  125 GiB  947 MiB    5 KiB   653 MiB   15 TiB  0.83  1.02  176      up
14    hdd  14.67400   1.00000   15 TiB  125 GiB  875 MiB    4 KiB   1.1 GiB   15 TiB  0.83  1.02  182      up
17    hdd  14.67400   1.00000   15 TiB  125 GiB  969 MiB    4 KiB   1.1 GiB   15 TiB  0.83  1.02  181      up
20    hdd  14.67400   1.00000   15 TiB  125 GiB  877 MiB    4 KiB   1.1 GiB   15 TiB  0.83  1.02  173      up
23    hdd  14.67400   1.00000   15 TiB  125 GiB  915 MiB    4 KiB   557 MiB   15 TiB  0.83  1.02  175      up
26    hdd  14.67400   1.00000   15 TiB  125 GiB  863 MiB    5 KiB   980 MiB   15 TiB  0.83  1.02  180      up
29    hdd  14.67400   1.00000   15 TiB  125 GiB  831 MiB    4 KiB   968 MiB   15 TiB  0.83  1.02  176      up
32    hdd  14.67400   1.00000   15 TiB  125 GiB  862 MiB    4 KiB   719 MiB   15 TiB  0.83  1.02  173      up
35    hdd  14.67400   1.00000   15 TiB  125 GiB  871 MiB    5 KiB   1.0 GiB   15 TiB  0.83  1.02  178      up
38    hdd  14.67400   1.00000   15 TiB  125 GiB  913 MiB    4 KiB   628 MiB   15 TiB  0.83  1.02  179      up
